OBJECTID,Facility Type,Facility Subtype,Facility ID,Facility Name,Address,City,Zip,Managing Entity,Primary Contact,Secondary Contact,Restoration Priority,Restoration Note,LATITUDE,LONGITUDE,Site Notes,Capacity,Generator,DATASOURCE,PIN,Evac Zone,Municipality Name,LE Agency,EMS Provider,EMS Grid ID,Fire Provider,Fire District,Fire Grid ID,Water Service Provider,Sewer Provider,Sewer Basin Name,Sewer Basin ID,Solid Waste Collection Service,CAT0 Storm Surge Depth (ft),CAT1 Storm Surge Depth (ft),CAT2 Storm Surge Depth (ft),CAT3 Storm Surge Depth (ft),CAT4 Storm Surge Depth (ft),CAT5 Storm Surge Depth (ft),Internal Created User,Internal Created Date,Internal Edited User,Internal Edited Date,GlobalID,x,y
412,Emergency Shelter,General Population Shelter,10,Ross Norton,"1426 S Martin Luther King Jr Ave, Clearwater 33756",CLEARWATER,33756,Pinellas County Emergency Management,"EOC Ops Desk: 727-453-4362, eocops@co.pinellas.fl.us; Human Services Desks: 727-464-4693/4697/4594/4687/4595","PCEM Health and Human Services Program Lead: 727-464-5550, apedzich@pinellas.gov",1,,27.94511273,-82.79336772,"Activation Level: D(s), E(s)",# of Spaces: 471,"Location: PC Fleet (tag # 111818), Size: 250 KW, Delivered By: PC Fleet, Run Time (hrs): 16","PCEM, 2024",1.53E+17,Non Evac,Clearwater,St. Petersburg,Pasadena,314A,Clearwater,Clearwater,314,CITY OF CLEARWATER-WATER DIV,Clw Marshall,City of Clearwater,,CITY OF CLEARWATER,,,,,,,BCC104831,5/8/2024 14:49,MISSPF0,5/12/2025 19:00,be21bc72-f802-4707-a189-020858e3048d,-9216515.895,3242056.161
413,Emergency Shelter,General Population Shelter,5,Dunedin Elementary,"900 Union St, Dunedin 34698",DUNEDIN,34698,Pinellas County Emergency Management,"EOC Ops Desk: 727-453-4362, eocops@co.pinellas.fl.us; Human Services Desks: 727-464-4693/4697/4594/4687/4595","PCEM Health and Human Services Program Lead: 727-464-5550, apedzich@pinellas.gov",1,,27.99813548,-82.77691436,"Activation Level: D(s), E(s)",# of Spaces: 1879,None,"PCEM, 2024",1.53E+17,E,Dunedin,PCSO,Sunstar,241A,Dunedin,Dunedin,241,CITY OF DUNEDIN,Dunedin,,,CITY OF DUNEDIN,,,,,,,BCC104831,5/8/2024 14:49,MISSPF0,5/12/2025 19:00,918bb6f3-15fe-46dd-9908-299194e8b743,-9214684.315,3248739.361
414,Emergency Shelter,General Population Shelter,22,Campbell Park Elementary,"1051 7th Ave S, St Petersburg 33705",ST PETERSBURG,33705,Pinellas County Emergency Management,"EOC Ops Desk: 727-453-4362, eocops@co.pinellas.fl.us; Human Services Desks: 727-464-4693/4697/4594/4687/4595","PCEM Health and Human Services Program Lead: 727-464-5550, apedzich@pinellas.gov",1,,27.76367419,-82.64959979,"Activation Level: A(s), B(s), C, D, E",# of Spaces: 1622,"Location: on site, Size: 60 KW, Delivered By: n/a, Run Time (hrs): 36","PCEM, 2024",1.63E+17,Non Evac,St Petersburg,St. Petersburg,St. Petersburg,660B,St. Petersburg,St Petersburg,660,CITY OF ST. PETERSBURG,StPeteAlWhitted,City of St Petersburg,,CITY OF ST PETERSBURG,,,,,,15.64086342,BCC104831,5/8/2024 14:49,MISSPF0,5/12/2025 19:00,30c7c944-f07a-4e90-863f-3fc5048320c0,-9200511.717,3219211.685
415,Emergency Shelter,General Population Shelter,18,New Heights Elementary,"3901 37th St N, St Petersburg 33714",ST PETERSBURG,33714,Pinellas County Emergency Management,"EOC Ops Desk: 727-453-4362, eocops@co.pinellas.fl.us; Human Services Desks: 727-464-4693/4697/4594/4687/4595","PCEM Health and Human Services Program Lead: 727-464-5550, apedzich@pinellas.gov",1,,27.80755805,-82.6824202,"Activation Level: D, E",# of Spaces: 2058,"Location: on site, Size: 150 KW, Delivered By: n/a, Run Time (hrs): 6.75","PCEM, 2024",1.63E+17,Non Evac,St Petersburg,Clearwater,Sunstar,586B,St. Petersburg,St Petersburg,586,CITY OF ST. PETERSBURG,StPeteNorthWest,City of St Petersburg,,CITY OF ST PETERSBURG,,,,,,,BCC104831,5/8/2024 14:49,MISSPF0,5/12/2025 19:00,8e518196-f6b6-419f-8846-f0310a33e53a,-9204165.269,3224733.492
416,Emergency Shelter,General Population Shelter,19,Fairmount Park Elementary,"575 41st S, St Petersburg 33711",ST PETERSBURG,33711,Pinellas County Emergency Management,"EOC Ops Desk: 727-453-4362, eocops@co.pinellas.fl.us; Human Services Desks: 727-464-4693/4697/4594/4687/4595","PCEM Health and Human Services Program Lead: 727-464-5550, apedzich@pinellas.gov",1,,27.76491397,-82.69030263,"Activation Level: C(s), D(s), E(s)",# of Spaces: 681,"Location: on site, Size: 60 KW, Delivered By: n/a, Run Time (hrs): 31","PCEM, 2024",1.63E+17,Non Evac,St Petersburg,St. Petersburg,St. Petersburg,658A,St. Petersburg,St Petersburg,658,CITY OF ST. PETERSBURG,StPeteSouthWest,City of St Petersburg,,CITY OF ST PETERSBURG,,,,,,,BCC104831,5/8/2024 14:49,MISSPF0,5/12/2025 19:00,ff41fa60-f718-4ff9-96a1-ea3c96f3bdb3,-9205042.737,3219367.654
417,Emergency Shelter,General Population Shelter,9,Belleair Elementary,"1156 Lakeview Rd, Clearwater 33756",CLEARWATER,33756,Pinellas County Emergency Management,"EOC Ops Desk: 727-453-4362, eocops@co.pinellas.fl.us; Human Services Desks: 727-464-4693/4697/4594/4687/4595","PCEM Health and Human Services Program Lead: 727-464-5550, apedzich@pinellas.gov",1,,27.95056263,-82.78889241,"Activation Level: D(s), E(s)",# of Spaces: 689,None,"PCEM, 2024",1.53E+17,Non Evac,Clearwater,Clearwater,Sunstar,306A,Clearwater,Clearwater,306,CITY OF CLEARWATER-WATER DIV,Clw Marshall,"City of Clearwater
",,CITY OF CLEARWATER,,,,,,,BCC104831,5/8/2024 14:49,MISSPF0,5/12/2025 19:00,02caa17d-1a63-41fa-8933-6e5c72c14323,-9216017.706,3242742.937
418,Emergency Shelter,General Population Shelter,8,Skycrest Elementary,"10 N Corona Ave, Clearwater 33765",CLEARWATER,33765,Pinellas County Emergency Management,"EOC Ops Desk: 727-453-4362, eocops@co.pinellas.fl.us; Human Services Desks: 727-464-4693/4697/4594/4687/4595","PCEM Health and Human Services Program Lead: 727-464-5550, apedzich@pinellas.gov",1,,27.966234,-82.76104143,"Activation Level: C(s), D(s), E(s)",# of Spaces: 724,None,"PCEM, 2024",1.53E+17,Non Evac,Clearwater,St. Petersburg,St. Petersburg,289A,Clearwater,Clearwater,289,CITY OF CLEARWATER-WATER DIV,Clw East,City of Clearwater,,CITY OF CLEARWATER,,,,,,,BCC104831,5/8/2024 14:49,MISSPF0,5/12/2025 19:00,ef274dfb-4186-4f0b-af20-05878fdc65cb,-9212917.348,3244717.977
419,Emergency Shelter,Pet Friendly Shelter,12,Largo High,"410 Missouri Ave, Largo 33770",LARGO,33770,Pinellas County Emergency Management,"EOC Ops Desk: 727-453-4362, eocops@co.pinellas.fl.us; Human Services Desks: 727-464-4693/4697/4594/4687/4595","PCEM Health and Human Services Program Lead: 727-464-5550, apedzich@pinellas.gov",1,,27.91974242,-82.78628055,"Activation Level: A, B, C, D, E",# of Spaces: 4388,"#1: on site, Size: 750 KW, Delivered By: n/a, Run Time (hrs): 24; #2: PC Fleet , Size: 5 KW, Delivered By: PC Fleet, Run Time (hrs): 10.4","PCEM, 2024",1.53E+17,Non Evac,Largo,PCSO,Lealman,343B,Largo,Largo,343,PINELLAS COUNTY UTILITIES,Largo,City of Largo ,,CITY OF LARGO,,,,,,,BCC104831,5/8/2024 14:49,MISSPF0,5/12/2025 19:00,25260330-4214-4856-8e23-8b84c01ee3fd,-9215726.955,3238859.547
420,Emergency Shelter,Special Needs Shelter,16,Lealman Exchange,"5175 45th St N, St Petersburg FL 33714",ST PETERSBURG,33714,Pinellas County Emergency Management,"EOC Ops Desk: 727-453-4362, eocops@co.pinellas.fl.us; Human Services Desks: 727-464-4693/4697/4594/4687/4595","PCEM Health and Human Services Program Lead: 727-464-5550, apedzich@pinellas.gov",1,,27.81858509,-82.69316216,"Activation Level: D(s), E(s)",# of Spaces: 600 (G) 300 (SPNDS),"Location: PC Fleet (tag #108441), Size: 25 KVA, Delivered By: PC Fleet, Run Time (hrs): 22.3","PCEM, 2024",1.63E+17,Non Evac,Unincorporated,PCSO,Lealman,571A,Lealman,Lealman,571,CITY OF ST. PETERSBURG,PC/SCross Bayou,Pinellas Utilities - South Cross - Joe Creek,PS501,UNINCORPORATED (Contractor: Pinellas County Solid Waste),,,,,,,BCC104831,5/8/2024 14:49,MISSPF0,5/12/2025 19:00,f80e6eec-615c-4f85-9099-8ca38aa42230,-9205361.06,3226121.349
421,Emergency Shelter,General Population Shelter,13,Mildred Helms Elementary,"561 Clearwater Largo Rd S, Largo. FL 33770",LARGO,33770,Pinellas County Emergency Management,"EOC Ops Desk: 727-453-4362, eocops@co.pinellas.fl.us; Human Services Desks: 727-464-4693/4697/4594/4687/4595","PCEM Health and Human Services Program Lead: 727-464-5550, apedzich@pinellas.gov",1,,27.91251778,-82.79707985,"Activation Level: D(s), E(s)",# of Spaces: 596,None,"PCEM, 2024",1.53E+17,Non Evac,Largo,St. Petersburg,St. Petersburg,357B,Largo,Largo,357,PINELLAS COUNTY UTILITIES,Largo,City of Largo ,,CITY OF LARGO,,,,,,,BCC104831,5/8/2024 14:49,MISSPF0,5/12/2025 19:00,0b15ff2f-56ca-46a4-a670-38e297797096,-9216929.128,3237949.392
422,Emergency Shelter,General Population Shelter,25,Melrose Elementary,"1752 13th Ave S, St Petersburg 33712",ST PETERSBURG,33712,Pinellas County Emergency Management,"EOC Ops Desk: 727-453-4362, eocops@co.pinellas.fl.us; Human Services Desks: 727-464-4693/4697/4594/4687/4595","PCEM Health and Human Services Program Lead: 727-464-5550, apedzich@pinellas.gov",1,,27.75717991,-82.65740077,"Activation Level: C(s), D(s), E(s)",# of Spaces: 1590,None,"PCEM, 2024",1.63E+17,Non Evac,St Petersburg,Largo,Largo,670A,St. Petersburg,St Petersburg,670,CITY OF ST. PETERSBURG,StPeteAlWhitted,City of St Petersburg,,CITY OF ST PETERSBURG,,,,,,,BCC104831,5/8/2024 14:49,MISSPF0,5/12/2025 19:00,cac1307d-522e-4838-8d17-3f7eb2582fa2,-9201380.118,3218394.714
423,Emergency Shelter,Pet Friendly Shelter,2,Palm Harbor University High,"1900 Omaha St, Palm Harbor 34683",PALM HARBOR,34683,Pinellas County Emergency Management,"EOC Ops Desk: 727-453-4362, eocops@co.pinellas.fl.us; Human Services Desks: 727-464-4693/4697/4594/4687/4595","PCEM Health and Human Services Program Lead: 727-464-5550, apedzich@pinellas.gov",1,,28.08499974,-82.76058663,"Activation Level: A, B, C, D, E",# of Spaces: 3328 (G),"#1: PC Fleet (tag 90879), Size: 7 KW, Delivered By: PC Fleet, Run Time (hrs): 10.4; #2: on site, Size: 500 KW, Delivered By: n/a, Run Time (hrs): 24","PCEM, 2024",1.53E+17,Non Evac,Unincorporated,"PCSO, Clearwater","Palm Harbor, Clearwater",118A,Palm Harbor,Palm Harbor,118,PINELLAS COUNTY UTILITIES,William E. Dunn,"Pinellas Utilities - Dunn - Pump Station 325
",PS325,UNINCORPORATED (Contractor: Pinellas County Solid Waste),,,,,,,BCC104831,5/8/2024 14:49,MISSPF0,5/12/2025 19:00,048f8c27-21d7-4720-9123-b6c43e2efc30,-9212866.72,3259695.19
801,Emergency Shelter,Special Needs Shelter,2,Palm Harbor University High Building 19,"1900 Omaha St, Palm Harbor 34683",PALM HARBOR,34683,Pinellas County Emergency Management,"EOC Ops Desk: 727-453-4362, eocops@co.pinellas.fl.us; Human Services Desks: 727-464-4693/4697/4594/4687/4595","PCEM Health and Human Services Program Lead: 727-464-5550, apedzich@pinellas.gov",1,,28.08494004,-82.76050769,"Activation Level: A, B, C, D, E",# of Spaces: 432 (SPND),"#1: PC Fleet (tag 90879), Size: 7 KW, Delivered By: PC Fleet, Run Time (hrs): 10.4; #2: on site, Size: 500 KW, Delivered By: n/a, Run Time (hrs): 24","PCEM, 2024",1.53E+17,Non Evac,Unincorporated,"PCSO, Clearwater","Palm Harbor, Clearwater",118A,Palm Harbor,Palm Harbor,118,PINELLAS COUNTY UTILITIES,William E. Dunn,"Pinellas Utilities - Dunn - Pump Station 325
",PS325,UNINCORPORATED (Contractor: Pinellas County Solid Waste),,,,,,,MISSPF0,5/12/2025 13:33,MISSPF0,5/12/2025 19:00,ace674ea-f2b5-49a5-b6ac-99c8824c43be,-9212857.932,3259687.657
802,Emergency Shelter,General Population Shelter,,Clearwater High,"1951 Gulf to Bay Blvd, Clearwater, FL 33764
",CLEARWATER,33764,Pinellas County Emergency Management,"EOC Ops Desk: 727-453-4362, eocops@co.pinellas.fl.us; Human Services Desks: 727-464-4693/4697/4594/4687/4595","PCEM Health and Human Services Program Lead: 727-464-5550, apedzich@pinellas.gov",1,,27.95955776,-82.75635712,,,,"PCEM, 2025",1.53E+17,Non Evac,Clearwater,,,298A,,Clearwater,298,,,,,,,,,,,,MISSPF0,5/12/2025 14:42,MISSPF0,5/12/2025 19:13,9a3164d4-b636-44bc-8e00-5a4b2f8d7bee,-9212395.893,3243876.545
803,Emergency Shelter,Backup,,Palm Harbor CSA,"1500 16th St, Palm Harbor, FL 34683",PALM HARBOR,34683,Pinellas County Emergency Management,"EOC Ops Desk: 727-453-4362, eocops@co.pinellas.fl.us; Human Services Desks: 727-464-4693/4697/4594/4687/4595","PCEM Health and Human Services Program Lead: 727-464-5550, apedzich@pinellas.gov",1,,28.08188516,-82.7571758,,,,"PCEM, 2025",1.53E+17,Non Evac,Unincorporated,,,118A,,Palm Harbor,118,,,,,,,,,,,,MISSPF0,5/12/2025 15:46,MISSPF0,5/12/2025 19:00,7e5361f9-512b-44a6-89e3-200989006772,-9212487.028,3259302.208
804,Emergency Shelter,Backup,,Dunedin Community Center,"1920 Pinehurst Rd, Dunedin, FL 34698",DUNEDIN,34698,Pinellas County Emergency Management,"EOC Ops Desk: 727-453-4362, eocops@co.pinellas.fl.us; Human Services Desks: 727-464-4693/4697/4594/4687/4595","PCEM Health and Human Services Program Lead: 727-464-5550, apedzich@pinellas.gov",1,,28.03643524,-82.77288463,,,,"PCEM, 2025",1.53E+17,C,Dunedin,,,186A,,Dunedin,186,,,,,,,,,,,,MISSPF0,5/12/2025 17:11,MISSPF0,5/12/2025 19:00,dea1c0a9-bf75-402b-83f2-3535b010f58c,-9214235.728,3253568.86
805,Emergency Shelter,Backup,,"The Coliseum
","535 4th Ave N, St. Petersburg, FL 33701
",ST PETERSBURG,33701,Pinellas County Emergency Management,"EOC Ops Desk: 727-453-4362, eocops@co.pinellas.fl.us; Human Services Desks: 727-464-4693/4697/4594/4687/4595","PCEM Health and Human Services Program Lead: 727-464-5550, apedzich@pinellas.gov",1,,27.77672959,-82.64111462,,,,"PCEM, 2025",1.73E+17,Non Evac,St Petersburg,,,651A,,St Petersburg,651,,,,,,,,,,,,MISSPF0,5/12/2025 17:23,MISSPF0,5/12/2025 19:00,dc09294f-6bbe-486c-b2e9-fbe3a6ff3d33,-9199567.153,3220854.183
806,Emergency Shelter,"Step-down, Backup
",,White Chapel,"1190 Georgia Ave, Palm Harbor, FL 34683",PALM HARBOR,34683,Pinellas County Emergency Management,"EOC Ops Desk: 727-453-4362, eocops@co.pinellas.fl.us; Human Services Desks: 727-464-4693/4697/4594/4687/4595","PCEM Health and Human Services Program Lead: 727-464-5550, apedzich@pinellas.gov",1,,28.07676627,-82.7652467,,,,"PCEM, 2025",1.53E+17,Non Evac,Unincorporated,,,129B,,Palm Harbor,129,,,,,,,,,,,,MISSPF0,5/12/2025 17:33,MISSPF0,5/12/2025 19:00,a73f861c-a3bb-480a-81a3-60a5ed24a303,-9213385.476,3258656.356
807,Emergency Shelter,"Step-down, Backup",,Saint Catherine,"1955 S Belcher Rd, Clearwater, FL 33764",CLEARWATER,33764,Pinellas County Emergency Management,"EOC Ops Desk: 727-453-4362, eocops@co.pinellas.fl.us; Human Services Desks: 727-464-4693/4697/4594/4687/4595","PCEM Health and Human Services Program Lead: 727-464-5550, apedzich@pinellas.gov",1,,27.92269498,-82.74521902,,,,"PCEM, 2025",1.63E+17,D,Largo,,,346A,,Largo,346,,,,,,,,,,,,MISSPF0,5/12/2025 17:41,MISSPF0,5/12/2025 19:00,d4e559e2-cca5-4df2-a5a0-2e0c5e8563d9,-9211156.004,3239231.526
